ID,Term,Aliases / Related labels,Category,Subcategory,Plain-English meaning,Mechanical role,Typical value / unit,Design notes / distinctions,Example systems,Scope,Source keys,Primary source URL,Additional source URLs,Added,Search tags
WG-0713,Wound,wound point; wound marker,Damage & morale,Damage unit,Discrete unit of injury or damage assigned to a model or unit.,Measures accumulated harm,integer/token,Separate from Wound Roll.,Many wargames,Generic,LEGION-DEV26,https://www.atomicmassgames.com/transmission/legion-dev-diaries-clan-saxon/,,2026-09-23,wound wound point; wound marker damage & morale damage unit
WG-0714,Exhausted Upgrade,exhausted card; spent upgrade,Deployment & army building,Upgrade state,Upgrade in a spent state that must be readied before reuse.,Creates ability cooldown,card state,Exhausted/ready component pattern.,Star Wars: Legion,Generic concept,LEGION-DEV26,https://www.atomicmassgames.com/transmission/legion-dev-diaries-clan-saxon/,,2026-09-23,exhausted upgrade exhausted card; spent upgrade deployment & army building upgrade state
WG-0715,Unit Strength,US; scoring strength,Objectives & scoring,Scoring statistic,Value representing how strongly a unit contributes to objectives.,Weights objective control,integer,Different from combat Strength.,Kings of War,Generic concept,KOW-MELEE,https://www.manticgames.com/news/kings-of-war-how-to-play-series-the-melee-phase/,,2026-09-23,unit strength us; scoring strength objectives & scoring scoring statistic
WG-0716,Steady,steady state,Damage & morale,Morale state,Unit has not reached wavering or routing threshold and acts normally.,Baseline morale state,state,Opposes Wavered/Routed.,Kings of War,Generic concept,KOW-MELEE,https://www.manticgames.com/news/kings-of-war-how-to-play-series-the-melee-phase/,,2026-09-23,steady steady state damage & morale morale state
WG-0717,Nerve Test,nerve check,Damage & morale,Morale test,Test combining accumulated damage and dice against morale thresholds.,Converts damage into morale outcome,2D6 + damage,Kings of War architecture.,Kings of War,"System-specific label, generic concept",KOW-MELEE,https://www.manticgames.com/news/kings-of-war-how-to-play-series-the-melee-phase/,,2026-09-23,nerve test nerve check damage & morale morale test
WG-0718,Wavering Limit,wavering threshold,Damage & morale,Morale threshold,Lower morale threshold causing temporary impairment.,Intermediate morale failure,threshold,Paired with Routing Limit.,Kings of War,"System-specific label, generic concept",KOW-MELEE,https://www.manticgames.com/news/kings-of-war-how-to-play-series-the-melee-phase/,,2026-09-23,wavering limit wavering threshold damage & morale morale threshold
WG-0719,Routing Limit,routing threshold,Damage & morale,Morale threshold,Higher morale threshold causing routing/removal.,Terminal morale failure,threshold,Paired with Wavering Limit.,Kings of War,"System-specific label, generic concept",KOW-MELEE,https://www.manticgames.com/news/kings-of-war-how-to-play-series-the-melee-phase/,,2026-09-23,routing limit routing threshold damage & morale morale threshold
WG-0720,Devastated,devastated state,Damage & morale,Degradation state,Unit remains despite damage above its routing threshold and suffers severe degradation.,Degrades survivor above threshold,state,Exceptional survival state.,Kings of War,"System-specific label, generic concept",KOW-MELEE,https://www.manticgames.com/news/kings-of-war-how-to-play-series-the-melee-phase/,,2026-09-23,devastated devastated state damage & morale degradation state
WG-0721,Counter Charge,countercharge; return charge,Movement,Charge action,"Charge by a unit already engaged with the chosen enemy, relaxing normal charge requirements.",Lets engaged units attack back,charge action,Different from Counterattack Rating.,Kings of War,Generic concept,KOW-MELEE,https://www.manticgames.com/news/kings-of-war-how-to-play-series-the-melee-phase/,,2026-09-23,counter charge countercharge; return charge movement charge action
WG-0722,Sidestep,side step; lateral move,Movement,Movement order,Moves a formed unit laterally while preserving general facing.,Controlled lateral repositioning,distance,Rank-and-flank movement concept.,Kings of War,Generic concept,KOW-MELEE,https://www.manticgames.com/news/kings-of-war-how-to-play-series-the-melee-phase/,,2026-09-23,sidestep side step; lateral move movement movement order
WG-0723,Back Order,back; reverse order,Movement,Movement order,Moves a formed unit backwards while maintaining facing.,Controlled rearward movement,distance,Separate from vehicle Reverse Order.,Kings of War,Generic concept,KOW-MELEE,https://www.manticgames.com/news/kings-of-war-how-to-play-series-the-melee-phase/,,2026-09-23,back order back; reverse order movement movement order
WG-0724,Ensnare,ensnaring defence,Special effect families,Defensive keyword,Makes frontal melee attacks against the unit less accurate.,Front-arc melee defence,modifier,Entangling-defence family.,Kings of War,"System-specific label, generic concept",KOW-MELEE,https://www.manticgames.com/news/kings-of-war-how-to-play-series-the-melee-phase/,,2026-09-23,ensnare ensnaring defence special effect families defensive keyword
WG-0725,Shambling,shamble; shambling movement,Special effect families,Movement keyword,Movement trait changing how slow or unnatural troops interact with movement effects.,Alternative mobility rules,trait,Exact restrictions vary.,Kings of War,Generic fantasy concept,KOW-MELEE,https://www.manticgames.com/news/kings-of-war-how-to-play-series-the-melee-phase/,,2026-09-23,shambling shamble; shambling movement special effect families movement keyword
WG-0726,Change Facing,reform; change face,Movement,Movement order,Rotates or reorients a formed unit without a normal advance.,Reorients arcs and future movement,rotation,Formation movement concept.,Rank-and-flank games,Generic,KOW-MELEE,https://www.manticgames.com/news/kings-of-war-how-to-play-series-the-melee-phase/,,2026-09-23,change facing reform; change face movement movement order
WG-0727,Weight Class,weight category,Game data,Unit classification,"Categorical mass class such as light, medium, heavy or assault.",Classifies scale and role,category,Vehicle/mech classification.,BattleTech: BattleForce,Generic concept,BTF-QSR,https://battletech.com/wp-content/uploads/2025/07/BattleForce_QSR.pdf,,2026-09-23,weight class weight category game data unit classification
WG-0728,Element,combat element; formation element,Game object,Subunit,Individual component unit within a larger formation.,Atomic unit inside formation,unit entry,Operational/formation term.,BattleTech: BattleForce,Generic concept,BTF-QSR,https://battletech.com/wp-content/uploads/2025/07/BattleForce_QSR.pdf,,2026-09-23,element combat element; formation element game object subunit
WG-0729,Base To-Hit,base target number,Combat & weapons,Attack statistic,Unmodified target number used as the starting point for an attack roll.,Baseline accuracy,target number,Before range/situation modifiers.,BattleTech: BattleForce,Generic concept,BTF-QSR,https://battletech.com/wp-content/uploads/2025/07/BattleForce_QSR.pdf,,2026-09-23,base to-hit base target number combat & weapons attack statistic
WG-0730,Armour/Structure,armor/structure,Damage & morale,Layered durability,Paired durability profile separating external protection from underlying structure.,Creates layered damage track,points/boxes,Vehicle/mech damage architecture.,BattleTech: BattleForce,Generic concept,BTF-QSR,https://battletech.com/wp-content/uploads/2025/07/BattleForce_QSR.pdf,,2026-09-23,armour/structure armor/structure damage & morale layered durability
WG-0731,Special Ability,Spc. Ability; special rule code,Game data,Profile ability field,Profile field listing coded special capabilities.,Extensible rules hooks,keyword/code,Generic profile architecture.,BattleTech: BattleForce,Generic,BTF-QSR,https://battletech.com/wp-content/uploads/2025/07/BattleForce_QSR.pdf,,2026-09-23,special ability spc. ability; special rule code game data profile ability field
WG-0732,Short Range Damage,short damage; Sht damage,Combat & weapons,Range-bracket damage,Weapon-output value used in the short range bracket.,Stores damage by range,integer,Paired with medium/long values.,BattleTech: BattleForce,Generic design concept,BTF-QSR,https://battletech.com/wp-content/uploads/2025/07/BattleForce_QSR.pdf,,2026-09-23,short range damage short damage; sht damage combat & weapons range-bracket damage
WG-0733,Medium Range Damage,medium damage; Med damage,Combat & weapons,Range-bracket damage,Weapon-output value used in the medium range bracket.,Stores damage by range,integer,Range-profile architecture.,BattleTech: BattleForce,Generic design concept,BTF-QSR,https://battletech.com/wp-content/uploads/2025/07/BattleForce_QSR.pdf,,2026-09-23,medium range damage medium damage; med damage combat & weapons range-bracket damage
WG-0734,Long Range Damage,long damage; Lng damage,Combat & weapons,Range-bracket damage,Weapon-output value used in the long range bracket.,Stores damage by range,integer,Range-profile architecture.,BattleTech: BattleForce,Generic design concept,BTF-QSR,https://battletech.com/wp-content/uploads/2025/07/BattleForce_QSR.pdf,,2026-09-23,long range damage long damage; lng damage combat & weapons range-bracket damage
WG-0735,Energy Weapon,ENE; energy weapon,Combat & weapons,Weapon classification,Profile code identifying energy-based armament for technology-specific rules.,Weapon-tech rules hook,keyword/code,BattleForce uses ENE code.,BattleTech: BattleForce,Generic sci-fi concept,BTF-QSR,https://battletech.com/wp-content/uploads/2025/07/BattleForce_QSR.pdf,,2026-09-23,energy weapon ene; energy weapon combat & weapons weapon classification
WG-0736,CASE,Cellular Ammunition Storage Equipment,Special effect families,Damage-control equipment,Protected ammunition-storage equipment intended to limit catastrophic ammunition damage.,Mitigates ammunition explosions,equipment keyword,BattleTech-specific acronym.,BattleTech,System-specific,BTF-QSR,https://battletech.com/wp-content/uploads/2025/07/BattleForce_QSR.pdf,,2026-09-23,case cellular ammunition storage equipment special effect families damage-control equipment
WG-0737,Order Pool,pooled orders; activation pool,Turn structure,Activation resource,Shared pool of orders generated by eligible troops and spent to activate troops in the same command group.,Shared activation economy,order tokens / count,Contrasts with unit-bound orders.,Infinity N5,"System-specific label, generic concept",INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,order pool pooled orders; activation pool turn structure activation resource
WG-0738,Regular Order,regular activation order,Turn structure,Activation resource,An order contributed to a shared pool by an eligible regular troop.,Generates flexible activation currency,order token,Reusable pooled-action design pattern.,Infinity N5,"System-specific label, generic concept",INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,regular order regular activation order turn structure activation resource
WG-0739,Irregular Order,irregular activation order,Turn structure,Activation resource,An order tied to its generating troop rather than added to the shared order pool.,Creates restricted activation currency,order token,Useful contrast with pooled orders.,Infinity N5,"System-specific label, generic concept",INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,irregular order irregular activation order turn structure activation resource
WG-0740,Lieutenant Special Order,lieutenant order; LT order,Turn structure,Command resource,A special order generated by an active lieutenant and reserved for eligible command use.,Leader-linked activation resource,order token,Leader economy distinct from ordinary pooled orders.,Infinity N5,System-specific,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,lieutenant special order lieutenant order; lt order turn structure command resource
WG-0741,Combat Group,order group; activation group,Turn structure,Command grouping,A subset of an army with its own independent activation resources.,Partitions activation economy,group / roster partition,Useful for limiting order sharing.,Infinity N5,Generic concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,combat group order group; activation group turn structure command grouping
WG-0742,Reactive Player,reacting player; non-active player,Turn structure,Player role,The opponent who may declare reactions during the active player's actions.,Defines reaction-side permissions,player state,Core reactive-turn concept.,Infinity N5,Generic concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,reactive player reacting player; non-active player turn structure player role
WG-0743,ARO,Automatic Reaction Order; reaction order,Turn structure,Reaction mechanic,A reaction opportunity generated for an eligible enemy troop by an active troop's declared actions.,Interrupt/reaction activation,reaction declaration,A defining Infinity term with broad design relevance.,Infinity N5,"System-specific label, generic concept",INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,aro automatic reaction order; reaction order turn structure reaction mechanic
WG-0744,Order Expenditure Sequence,order sequence; activation sequence,Turn structure,Resolution sequence,"Structured sequence for spending an activation resource, declaring actions and reactions, resolving rolls and applying effects.",Controls timing and information flow,ordered steps,Useful timing-framework term.,Infinity N5,"System-specific label, generic concept",INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,order expenditure sequence order sequence; activation sequence turn structure resolution sequence
WG-0745,Face to Face Roll,FtF roll; opposed roll,Resolution & tests,Opposed test,A roll in which opposing successful results directly cancel or defeat one another.,Resolves direct opposition,dice vs dice / success values,Distinct from an unopposed Normal Roll.,Infinity N5,"System-specific label, generic concept",INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,face to face roll ftf roll; opposed roll resolution & tests opposed test
WG-0746,Normal Roll,unopposed roll,Resolution & tests,Unopposed test,A test resolved against its own success criteria without an opposing roll cancelling results.,Resolves non-opposed actions,die vs target value,Contrasts with Face to Face Roll.,Infinity N5,Generic concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,normal roll unopposed roll resolution & tests unopposed test
WG-0747,Success Value,success threshold; target value,Resolution & tests,Target number,The modified characteristic value used to determine whether a die result succeeds.,Defines test threshold,number,Generic roll-under/threshold vocabulary.,Infinity N5,Generic concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,success value success threshold; target value resolution & tests target number
WG-0748,Open Information,public information,Information,Information state,Game information that must be available to both players.,Controls disclosure,information class,Paired with Private Information.,Infinity N5,Generic concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,open information public information information information state
WG-0749,Private Information,hidden information; secret information,Information,Information state,Game information a player may keep concealed until rules require disclosure.,Supports bluffing and uncertainty,information class,Designer-facing information architecture.,Infinity N5,Generic concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,private information hidden information; secret information information information state
WG-0750,Courtesy List,public army list; disclosure list,Deployment & army building,Information aid,A version of an army list containing the information an opponent is entitled to know before or during play.,Separates public roster data from secrets,list/document,Useful hidden-information tournament concept.,Infinity N5,"System-specific label, generic concept",INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,courtesy list public army list; disclosure list deployment & army building information aid
WG-0751,Loss of Lieutenant,command loss; leader loss state,Damage & morale,Command state,Army-wide disruption caused by losing or lacking its designated lieutenant.,Degrades command economy,army state,Generic command-decapitation mechanic.,Infinity N5,"System-specific label, generic concept",INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,loss of lieutenant command loss; leader loss state damage & morale command state
WG-0752,Retreat!,retreat state; force break state,Damage & morale,Army state,Force-wide endgame or degraded state triggered when surviving force value falls below a threshold.,Models army-level collapse,VP/points threshold,Different from a unit Fall Back action.,Infinity N5,"System-specific label, generic concept",INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,retreat! retreat state; force break state damage & morale army state
WG-0753,Null State,inactive state; non-functional state,Damage & morale,State family,Category of states in which a troop no longer contributes normally to play or activation resources.,Groups incapacitated states,state class,Useful state taxonomy.,Infinity N5,Generic concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,null state inactive state; non-functional state damage & morale state family
WG-0754,Camouflaged State,camouflage marker state; camo state,Information,Hidden-unit state,State representing a troop as an information-concealing marker rather than an identified model.,Conceals identity and complicates targeting,marker state,Separate from generic camouflage modifier.,Infinity N5,"System-specific label, generic concept",INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,camouflaged state camouflage marker state; camo state information hidden-unit state
WG-0755,Hidden Deployment,hidden setup; secret deployment,Deployment & army building,Deployment method,Deployment method in which a unit's position or existence is recorded secretly rather than placed openly.,Creates positional uncertainty,secret position / record,Generic hidden-deployment family.,Infinity N5,Generic concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,hidden deployment hidden setup; secret deployment deployment & army building deployment method
WG-0756,Discover,spot; reveal action,Information,Detection action,Action used to identify or reveal a concealed enemy marker or hidden state.,Counter-concealment action,test/action,Generic detection mechanic.,Infinity N5,Generic concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,discover spot; reveal action information detection action
WG-0757,Reset,systems reset; defensive reset,Electronic warfare,Defensive action,"Defensive action used to resist or clear certain electronic, hacking or control effects.",Cyber/EW defence and recovery,test/action,Useful modern/sci-fi EW vocabulary.,Infinity N5,Generic concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,reset systems reset; defensive reset electronic warfare defensive action
WG-0758,Hacking Area,hacking zone; network attack area,Electronic warfare,Network range,"Area in which a hacker can affect valid targets, potentially extended through network nodes such as repeaters.",Defines non-LOS cyber reach,zone / network,Network topology as tabletop geometry.,Infinity N5,"System-specific label, generic concept",INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,hacking area hacking zone; network attack area electronic warfare network range
WG-0759,Repeater,network repeater; hacking relay,Electronic warfare,Network node,Device or unit that extends a hacker's effective network area.,Extends cyber/EW reach,node / zone,Strong design term for relay-based ranges.,Infinity N5,Generic sci-fi concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,repeater network repeater; hacking relay electronic warfare network node
WG-0760,Deployable Repeater,deployable network relay,Electronic warfare,Deployable network node,Placed device that creates or extends a hacking/network area from a new position.,Creates temporary network geometry,deployable marker / zone,Combines deployable terrain and EW.,Infinity N5,"System-specific label, generic concept",INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,deployable repeater deployable network relay electronic warfare deployable network node
WG-0761,Targeted State,target lock; designated state,Electronic warfare,Targeting state,State marking a unit as electronically designated for improved or enabled attacks.,Creates cross-system targeting synergy,state/marker,Generic target-designation family.,Infinity N5,Generic concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,targeted state target lock; designated state electronic warfare targeting state
WG-0762,Isolated State,isolated; comms isolation,Electronic warfare,Command-disruption state,State representing a troop cut off from normal command or network support.,Disrupts resource sharing and command,state/marker,Generic comms-disruption family.,Infinity N5,Generic concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,isolated state isolated; comms isolation electronic warfare command-disruption state
WG-0763,Suppressive Fire State,suppression stance; suppressive state,Combat & weapons,Fire posture,Persistent firing posture that trades normal freedom for reactive area denial or altered shooting performance.,Creates area-denial posture,state / weapon mode,Distinct from suppression markers.,Infinity N5,Generic concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,suppressive fire state suppression stance; suppressive state combat & weapons fire posture
WG-0764,Intuitive Attack,blind attack; intuitive fire,Combat & weapons,Detection-bypass attack,"Attack method allowing an attacker to engage a concealed threat without first fully identifying it, normally through a test or restriction.",Combines detection and attack risk,attack/test,Useful anti-concealment mechanic.,Infinity N5,"System-specific label, generic concept",INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,intuitive attack blind attack; intuitive fire combat & weapons detection-bypass attack
WG-0765,Cautious Movement,cautious move; careful move,Movement,Stealth movement,Movement mode intended to cross a dangerous observation gap without granting a normal reaction when conditions are met.,Trades movement constraints for reaction avoidance,movement distance/action,Reactive-game movement concept.,Infinity N5,Generic concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,cautious movement cautious move; careful move movement stealth movement
WG-0766,Forward Observer,FO; target designator,Electronic warfare,Targeting role,Specialist role that designates enemy targets for subsequent attacks or support effects.,Creates spotting/fire-support link,skill/role,Generic artillery and sci-fi targeting concept.,Infinity N5,Generic concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,forward observer fo; target designator electronic warfare targeting role
WG-0767,Coordinated Order,coordinated activation,Turn structure,Multi-unit activation,Command expenditure that lets several units perform a coordinated set of actions under shared restrictions.,Enables bounded group activation,command resource / unit count,Hybrid between single activation and mass activation.,Infinity N5,Generic concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,coordinated order coordinated activation turn structure multi-unit activation
WG-0768,Command Token,command point token; command resource,Turn structure,Command resource,"Limited strategic resource spent to alter command, activation or deployment procedures.",Meta-activation resource,token/count,Broader than an ordinary order.,Infinity N5,Generic concept,INF-N5-52,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,,2026-09-23,command token command point token; command resource turn structure command resource
WG-0769,Minimum Speed,min speed; compulsory speed,Movement,Movement constraint,Minimum distance a model must travel when moving.,Forces momentum,distance,Common naval/aircraft movement concept.,Dystopian Wars 4,Generic concept,DW4-GLOSS-402,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf,,2026-09-23,minimum speed min speed; compulsory speed movement movement constraint
WG-0770,Maximum Speed,max speed; speed limit,Movement,Movement constraint,Maximum distance a model may travel during its movement.,Caps mobility,distance,Generic movement statistic.,Dystopian Wars 4,Generic,DW4-GLOSS-402,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf,,2026-09-23,maximum speed max speed; speed limit movement movement constraint
WG-0771,Lateral Engines,side-thrust; lateral thrusters,Movement,Movement system,Movement system permitting a sideways displacement without changing facing.,Adds lateral manoeuvring,distance/system,Useful naval/sci-fi manoeuvre term.,Dystopian Wars 4,"System-specific label, generic concept",DW4-GLOSS-402,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf,,2026-09-23,lateral engines side-thrust; lateral thrusters movement movement system
WG-0772,Slowed,slow state; speed-reduced state,Movement,Movement state,Temporary state reducing a unit's action capacity and/or maximum movement.,Applies mobility degradation,state/marker,Different from Slow as permanent trait.,Dystopian Wars 4,Generic concept,DW4-GLOSS-402,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf,,2026-09-23,slowed slow state; speed-reduced state movement movement state
WG-0773,Generator Effect Token,generator token; system effect token,Special effect families,State marker,Marker showing a temporary generator-produced state or effect on a unit.,Tracks temporary system effects,token,Generic equipment-state marker pattern.,Dystopian Wars 4,"System-specific label, generic concept",DW4-GLOSS-402,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf,,2026-09-23,generator effect token generator token; system effect token special effect families state marker
WG-0774,Action Dice,action die; action pool,Resolution & tests,Dice pool,"Dice rolled to resolve actions, with different faces or grades producing different effect levels.",Core resolution currency,dice pool,Generic dice-pool term.,Dystopian Wars 4,Generic concept,DW4-QRG,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/Quick-Reference-Guide_W.pdf,,2026-09-23,action dice action die; action pool resolution & tests dice pool
WG-0775,Standard Strike,standard success; standard hit,Resolution & tests,Success grade,Basic success grade on an action die.,Produces baseline effect,die result,Part of graded-success dice system.,Dystopian Wars 4,"System-specific label, generic concept",DW4-QRG,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/Quick-Reference-Guide_W.pdf,,2026-09-23,standard strike standard success; standard hit resolution & tests success grade
WG-0776,Heavy Strike,heavy success; heavy hit,Resolution & tests,Success grade,Higher success grade producing a stronger effect than a standard strike.,Produces enhanced effect,die result,Graded-success vocabulary.,Dystopian Wars 4,"System-specific label, generic concept",DW4-QRG,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/Quick-Reference-Guide_W.pdf,,2026-09-23,heavy strike heavy success; heavy hit resolution & tests success grade
WG-0777,Exploding Strike,exploding success; exploding hit,Resolution & tests,Exploding success grade,High-grade die result that produces strong effects and may trigger additional dice/effects.,Creates open-ended or bonus resolution,die result,Related to exploding dice but source uses a named result.,Dystopian Wars 4,"System-specific label, generic concept",DW4-QRG,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/Quick-Reference-Guide_W.pdf,,2026-09-23,exploding strike exploding success; exploding hit resolution & tests exploding success grade
WG-0778,Disorder,disorder level; disorder marker,Damage & morale,Degradation track,Accumulating state representing disruption that impairs a unit without necessarily causing direct damage.,Tracks operational disruption,levels/markers,Soft-damage track distinct from hull damage.,Dystopian Wars 4,Generic concept,DW4-QRG,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/Quick-Reference-Guide_W.pdf,,2026-09-23,disorder disorder level; disorder marker damage & morale degradation track
WG-0779,Repair Roll,damage-control roll; repair test,Damage & morale,Recovery test,Roll used to remove or mitigate critical damage effects.,Converts repair capacity into recovery,dice pool/test,Generic damage-control mechanic.,Dystopian Wars 4,Generic concept,DW4-QRG,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/Quick-Reference-Guide_W.pdf,,2026-09-23,repair roll damage-control roll; repair test damage & morale recovery test
WG-0780,Reserve Roll,reserve arrival roll,Deployment & army building,Arrival test,Roll determining whether and where a reserve unit enters play.,Controls reinforcement timing/location,dice pool/test,Generic reserve uncertainty mechanic.,Dystopian Wars 4,Generic concept,DW4-QRG,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/Quick-Reference-Guide_W.pdf,,2026-09-23,reserve roll reserve arrival roll deployment & army building arrival test
WG-0781,Broadside Roll,broadside attack roll,Combat & weapons,Naval attack roll,Attack roll built from the broadside ratings of participating flank batteries.,Aggregates flank firepower,dice pool,Naval battery-resolution term.,Dystopian Wars 4,"System-specific label, generic concept",DW4-QRG,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/Quick-Reference-Guide_W.pdf,,2026-09-23,broadside roll broadside attack roll combat & weapons naval attack roll
WG-0782,Critical Damage Effect,critical effect; critical damage state,Damage & morale,Critical damage,Persistent or discrete impairment caused by a critical damage result.,Adds subsystem consequences beyond raw damage,effect/state,Generic vehicle/naval damage architecture.,Dystopian Wars 4,Generic concept,DW4-QRG,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/Quick-Reference-Guide_W.pdf,,2026-09-23,critical damage effect critical effect; critical damage state damage & morale critical damage
WG-0783,Anti-Ship,anti-ship weapon,Combat & weapons,Target-role keyword,Weapon trait optimised for attacking capital ships while performing poorly against smaller craft.,Differentiates target classes,keyword/modifier,Fleet target-role keyword.,Grimdark Future: Warfleets,Generic concept,OPR-WF-WIKI,https://wiki.onepagerules.com/index.php/Grimdark_Future_Warfleets_Special_Rules,,2026-09-23,anti-ship anti-ship weapon combat & weapons target-role keyword
WG-0784,Anti-Squadron,anti-squadron weapon; point defence role,Combat & weapons,Target-role keyword,Weapon trait optimised for attacking small craft or squadrons while performing poorly against ships.,Differentiates target classes,keyword/modifier,Fleet target-role keyword.,Grimdark Future: Warfleets,Generic concept,OPR-WF-WIKI,https://wiki.onepagerules.com/index.php/Grimdark_Future_Warfleets_Special_Rules,,2026-09-23,anti-squadron anti-squadron weapon; point defence role combat & weapons target-role keyword
WG-0785,Boarding Pod,boarding torpedo; assault pod,Combat & weapons,Boarding weapon,Weapon that delivers boarding forces or boarding markers instead of conventional direct damage.,Creates delayed internal attack,weapon / marker,Useful boarding-action family.,Grimdark Future: Warfleets,Generic sci-fi concept,OPR-WF-WIKI,https://wiki.onepagerules.com/index.php/Grimdark_Future_Warfleets_Special_Rules,,2026-09-23,boarding pod boarding torpedo; assault pod combat & weapons boarding weapon
WG-0786,Boarding Marker,boarding token; boarding party marker,Damage & morale,Persistent attack marker,Marker representing hostile boarders continuing to threaten a ship over later activations.,Creates damage-over-time boarding pressure,marker/count,Persistent hostile-state mechanic.,Grimdark Future: Warfleets,Generic concept,OPR-WF-WIKI,https://wiki.onepagerules.com/index.php/Grimdark_Future_Warfleets_Special_Rules,,2026-09-23,boarding marker boarding token; boarding party marker damage & morale persistent attack marker
