term_id,canonical_term,category,subcategory,definition,mechanical_role,typical_value_unit,design_notes,scope,added,search_tags
WG-0274,Objective token,Objectives & scoring,Objective object,"A token representing a scenario objective that may be controlled, carried or interacted with.",Scenario object,token,,Generic / cross-system,2026-09-23,objective token objective marker; asset; civilian objectives & scoring objective object
WG-0275,Secure objective,Objectives & scoring,Objective type,An objective scored by controlling or contesting a location.,Positional scoring,zone/token,,Generic / cross-system,2026-09-23,secure objective hold objective; control point objectives & scoring objective type
WG-0276,Extract objective,Objectives & scoring,Objective type,"An objective that can be picked up, carried or moved by models.",Mobile scoring object,token,,Generic / cross-system,2026-09-23,extract objective carry objective; pickup objectives & scoring objective type
WG-0277,Control,Objectives & scoring,Control,Have sufficient presence or value at an objective to claim it.,Determines scoring ownership,comparison,,Generic / cross-system,2026-09-23,control hold; dominate objectives & scoring control
WG-0278,Contest,Objectives & scoring,Control,Have presence at an objective that prevents or competes with enemy control.,Denies/competes for scoring,comparison,,Generic / cross-system,2026-09-23,contest contesting; challenge control objectives & scoring control
WG-0279,Control score,Objectives & scoring,Control value,A summed value used to compare which side controls an objective.,Quantifies board control,integer,,Generic / cross-system,2026-09-23,control score objective control; oc total objectives & scoring control value
WG-0280,Objective Control,Objectives & scoring,Control value,A model characteristic representing its contribution to holding objectives.,Quantifies scoring presence,integer,,Generic / cross-system,2026-09-23,objective control oc; control characteristic objectives & scoring control value
WG-0281,Claim,Objectives & scoring,Objective interaction,Take possession or control of an objective/token.,Changes objective ownership/state,,,Generic / cross-system,2026-09-23,claim claim objective; pick up objectives & scoring objective interaction
WG-0282,Secure,Objectives & scoring,Objective interaction,Establish or maintain control of an objective according to scenario rules.,Changes scoring state,,,Generic / cross-system,2026-09-23,secure secure objective; hold objectives & scoring objective interaction
WG-0283,Interact,Objectives & scoring,Objective interaction,"Perform a non-attack action on an objective, marker, terrain element or scenario object.",Scenario action,action/cost,,Generic / cross-system,2026-09-23,interact interaction action; use objective objectives & scoring objective interaction
WG-0284,Score,Objectives & scoring,Scoring,Gain points for meeting scenario conditions.,Progresses victory,points,,Generic / cross-system,2026-09-23,score score points; scoring objectives & scoring scoring
WG-0285,Victory Point,Objectives & scoring,Scoring,A numeric point used to determine the winner.,Victory metric,integer,,Generic / cross-system,2026-09-23,victory point vp; victory points objectives & scoring scoring
WG-0286,Secondary objective,Objectives & scoring,Scoring,An additional scoring goal separate from the main mission objective.,Diversifies scoring,points/condition,,Generic / cross-system,2026-09-23,secondary objective side objective; secondary objectives & scoring scoring
WG-0287,Primary objective,Objectives & scoring,Scoring,The main scenario scoring goal.,Core victory path,points/condition,,Generic/common,2026-09-23,primary objective main objective; primary objectives & scoring scoring
WG-0288,Scenario,Objectives & scoring,Scenario,"The rules setup defining battlefield, deployment, objectives, scoring and special conditions.",Frames a game,,,Generic / cross-system,2026-09-23,scenario mission; encounter; battleplan objectives & scoring scenario
WG-0289,Mission,Objectives & scoring,Scenario,A game setup with defined objectives and victory conditions.,Frames a game,,,Generic / cross-system,2026-09-23,mission scenario; operation objectives & scoring scenario
WG-0290,Battleplan,Objectives & scoring,Scenario,Age of Sigmar-style term for a complete scenario setup.,Frames a game,,,"System-specific label, generic concept",2026-09-23,battleplan scenario; mission objectives & scoring scenario
WG-0291,Encounter,Objectives & scoring,Scenario,"A structured game setup including deployment, strategy and scheme/objective information.",Frames a game,,,"System-specific label, generic concept",2026-09-23,encounter scenario; game setup objectives & scoring scenario
WG-0292,Victory condition,Objectives & scoring,Victory,The rule determining how a winner is established.,Ends/judges the game,condition,,Generic / cross-system,2026-09-23,victory condition win condition objectives & scoring victory
WG-0293,Tiebreaker,Objectives & scoring,Victory,A secondary comparison used when primary scores are equal.,Resolves ties,ordered criterion,,Generic/common,2026-09-23,tiebreaker tie-break; secondary scoring objectives & scoring victory
WG-0294,Deployment,Deployment & army building,Deployment,Place starting forces on or off the battlefield before normal play.,Initial positioning,,,Generic / cross-system,2026-09-23,deployment set up; deploy deployment & army building deployment
WG-0295,Deployment zone,Deployment & army building,Deployment,The area where a side may normally deploy units.,Initial spatial constraint,area,,Generic / cross-system,2026-09-23,deployment zone starting zone; dz deployment & army building deployment
WG-0296,Set up,Deployment & army building,Placement verb,Place a model/unit onto the battlefield according to stated restrictions.,Rules placement,,,Generic / cross-system,2026-09-23,set up place; deploy deployment & army building placement verb
WG-0297,Reserve,Deployment & army building,Reserve,A unit kept off the battlefield to enter later.,Delayed deployment,state/off-table,,Generic / cross-system,2026-09-23,reserve reserves; off-table reserve deployment & army building reserve
WG-0298,Reinforcement,Deployment & army building,Reserve,A unit or model entering play after the initial deployment.,Adds forces later,unit/model,,Generic/common,2026-09-23,reinforcement reinforcements; reserve arrival deployment & army building reserve
WG-0299,Undeployed,Deployment & army building,Reserve state,A unit has not yet entered the battlefield.,Tracks reserve state,state,,Generic / cross-system,2026-09-23,undeployed off-table; not deployed deployment & army building reserve state
WG-0300,Army,Deployment & army building,Force,The complete set of units a player brings to a game.,Player's force,,,Generic / cross-system,2026-09-23,army force; faction force deployment & army building force
WG-0301,Army list,Deployment & army building,List building,"The selected units, upgrades and costs forming a player's force.",Defines force composition,,,Generic / cross-system,2026-09-23,army list roster; force list deployment & army building list building
WG-0302,Roster,Deployment & army building,List building,A formal list of models/units and options available for a game or event.,Defines available force,,,Generic / cross-system,2026-09-23,roster army list; squad list deployment & army building list building
WG-0303,Points,Deployment & army building,List building,A numeric cost system used to balance army composition.,Budgets force selection,integer,,Generic / cross-system,2026-09-23,points points cost; army points deployment & army building list building
WG-0304,Cost value,Deployment & army building,List building,"The list-building value paid to include a unit, model or upgrade.",Balances selection,integer,,Generic / cross-system,2026-09-23,cost value points cost; threat; requisition deployment & army building list building
WG-0305,Threat,Deployment & army building,List building,A scenario or character-cost value used to set force size.,Balances team size,integer,,"System-specific label, generic concept",2026-09-23,threat threat level; roster cost deployment & army building list building
WG-0306,Faction,Deployment & army building,Identity,A rules identity grouping units into a force family.,List-building/rules hook,keyword/category,,Generic / cross-system,2026-09-23,faction army; affiliation deployment & army building identity
WG-0307,Affiliation,Deployment & army building,Identity,A group identity used for list-building and synergy rules.,List-building/rules hook,keyword/category,,Generic / cross-system,2026-09-23,affiliation faction; team deployment & army building identity
WG-0308,Unit type,Deployment & army building,Classification,A categorical classification affecting rules interactions and list roles.,Rules hook,keyword/category,,Generic / cross-system,2026-09-23,unit type trooper type; model type deployment & army building classification
WG-0309,Rank,Deployment & army building,Classification,A list-building category defining a unit's organisational role and limits.,Force composition constraint,category,,Generic / cross-system,2026-09-23,rank role; battlefield role deployment & army building classification
WG-0310,Role,Deployment & army building,Classification,A category used to organise force selection or communicate intended function.,Force composition/design signal,category,,Generic design term,2026-09-23,role battlefield role; slot deployment & army building classification
WG-0311,Upgrade,Deployment & army building,Upgrade,An optional addition that changes a model/unit's rules or statistics.,Customises units,card/points,,Generic / cross-system,2026-09-23,upgrade equipment card; option deployment & army building upgrade
WG-0312,Equipment,Deployment & army building,Equipment,"A weapon, device or item carried by a model and represented in its rules.",Adds capabilities,,,Generic / cross-system,2026-09-23,equipment gear; wargear; item deployment & army building equipment
WG-0313,Loadout,Deployment & army building,Equipment,The selected combination of weapons and equipment for a unit/model.,Customises profile,,,Generic/common,2026-09-23,loadout equipment loadout; weapon option deployment & army building equipment
WG-0314,Weapon,Deployment & army building,Equipment,An item/profile used to make attacks.,Provides attack options,,,Generic / cross-system,2026-09-23,weapon armament; attack profile deployment & army building equipment
WG-0315,Unique,Deployment & army building,Limit,A list-building restriction allowing only one copy of something.,Caps duplication,boolean,,Generic / cross-system,2026-09-23,unique unique unit; one-of deployment & army building limit
WG-0316,Limited,Deployment & army building,Limit,A rule restricting the number of copies or uses of an item/unit.,Caps duplication/usage,integer,,Generic / cross-system,2026-09-23,limited limited x; copy limit deployment & army building limit
WG-0317,Attachment,Deployment & army building,Unit relation,A model/unit is joined to another unit for some rules purposes.,Combines units,,,Generic / cross-system,2026-09-23,attachment attached unit; bodyguard; join deployment & army building unit relation
WG-0318,Bodyguard,Deployment & army building,Unit relation,A unit that accompanies/protects a leader and may form a combined unit.,Leader support,,,Generic / cross-system,2026-09-23,bodyguard retinue; attached unit deployment & army building unit relation
WG-0319,Transport,Deployment & army building,Transport,A unit capable of carrying other models/units.,Mobility/protection system,capacity,,Generic / cross-system,2026-09-23,transport vehicle transport; carrier deployment & army building transport
WG-0320,Embarked,Deployment & army building,Transport state,A unit is carried inside/on a transport and is not positioned normally on the battlefield.,Transport state,state,,Generic / cross-system,2026-09-23,embarked inside transport; mounted deployment & army building transport state
WG-0321,Disembark,Deployment & army building,Transport action,Move a carried unit out of a transport onto the battlefield.,Transport transition,distance/action,,Generic / cross-system,2026-09-23,disembark exit transport; deploy from transport deployment & army building transport action
WG-0322,Command point,Deployment & army building,Resource,A spendable player resource used to activate command abilities or stratagem-like effects.,Strategic resource,integer,,Generic / cross-system,2026-09-23,command point cp; command resource deployment & army building resource
WG-0323,Power resource,Deployment & army building,Resource,"A spendable model resource used to pay for superpowers, abilities or effects.",Local action resource,integer,,Generic / cross-system,2026-09-23,power resource energy; power points deployment & army building resource
WG-0324,Token,Deployment & army building,Component,"A small component used to record a temporary state, resource or objective.",External state tracking,physical/digital token,,Generic / cross-system,2026-09-23,token counter; marker token deployment & army building component
WG-0325,Marker,Deployment & army building,Component,"A tabletop marker representing a location, object, state or game effect.",External state/spatial object,physical marker,,Generic / cross-system,2026-09-23,marker counter; objective marker; state marker deployment & army building component
WG-0326,State,Deployment & army building,State,A named rules condition affecting a model or game element.,Encodes persistent game state,named state,,Generic / cross-system,2026-09-23,state condition; status deployment & army building state
WG-0327,Roll,Resolution & tests,Randomisation,Generate a random result using one or more dice.,Core randomiser,die/dice,,Generic / cross-system,2026-09-23,roll dice roll; check resolution & tests randomisation
WG-0328,Test,Resolution & tests,Test,Compare a random result plus/minus modifiers to a target or characteristic.,Resolves uncertain action,die vs target,,Generic/common,2026-09-23,test check; skill test resolution & tests test
WG-0329,Order Test,Resolution & tests,Test,A test determining whether a unit obeys an order under pressure.,Gates activation,2D6/stat or similar,,Generic / cross-system,2026-09-23,order test command test; morale order check resolution & tests test
WG-0330,Target Number,Resolution & tests,Test,The number a roll must meet or beat to succeed.,Sets difficulty,integer,,Generic / cross-system,2026-09-23,target number tn; difficulty resolution & tests test
WG-0331,Opposed roll,Resolution & tests,Contest,Both sides roll or generate values and compare results.,Resolves direct contests,two rolls/totals,,Generic / cross-system,2026-09-23,opposed roll opposed test; contested roll; duel resolution & tests contest
WG-0332,Simple duel,Resolution & tests,Test,A roll against a fixed target rather than an opponent's roll.,Resolves static challenge,roll vs TN,,"System-specific label, generic concept",2026-09-23,simple duel unopposed test; static test resolution & tests test
WG-0333,Opposed duel,Resolution & tests,Contest,A roll where initiator and defender both generate totals and compare them.,Resolves direct conflict,two totals,,"System-specific label, generic concept",2026-09-23,opposed duel contested duel; opposed test resolution & tests contest
WG-0334,Face-to-face roll,Resolution & tests,Contest,An opposed roll where success is determined by directly comparing dice/results.,Resolves reactions/conflict,dice comparison,,"System-specific label, generic concept",2026-09-23,face-to-face roll opposed roll; ftf resolution & tests contest
WG-0335,Success,Resolution & tests,Outcome,A roll or test meets its required condition.,Positive result,boolean/count,,Generic / cross-system,2026-09-23,success pass; hit resolution & tests outcome
WG-0336,Failure,Resolution & tests,Outcome,A roll or test does not meet its required condition.,Negative result,boolean/count,,Generic / cross-system,2026-09-23,failure fail; miss resolution & tests outcome
WG-0337,Margin of success,Resolution & tests,Outcome quality,The amount by which a successful result exceeds its target/opponent.,Grades outcome,integer difference,,Generic design term,2026-09-23,margin of success success margin; degree of success resolution & tests outcome quality
WG-0338,Raise,Resolution & tests,Outcome quality,A discrete extra success earned by exceeding a target/opponent by a defined amount.,Grades outcome,integer count,,"System-specific label, generic concept",2026-09-23,raise degree; margin threshold resolution & tests outcome quality
WG-0339,D6,Resolution & tests,Dice notation,A six-sided die.,Randomiser,1–6,,Generic / cross-system,2026-09-23,d6 six-sided die resolution & tests dice notation
WG-0340,D3,Resolution & tests,Dice notation,"A three-result random value, often generated from a D6.",Randomiser,1–3,,Generic / cross-system,2026-09-23,d3 three-result die; d6/2 resolution & tests dice notation
WG-0341,2D6,Resolution & tests,Dice notation,Roll two six-sided dice and usually add them.,Bell-curve randomiser,2–12,,Generic / cross-system,2026-09-23,2d6 two six-sided dice resolution & tests dice notation
WG-0342,Die result,Resolution & tests,Dice result,The numeric or symbolic face produced by a die.,Raw random output,number/symbol,,Generic / cross-system,2026-09-23,die result face value; result resolution & tests dice result
WG-0343,Success symbol,Resolution & tests,Dice result,A symbolic die face counted as a success under a dice-pool system.,Pool resolution,symbol/count,,Generic / cross-system,2026-09-23,success symbol hit; block; surge; crit resolution & tests dice result
WG-0344,Critical,Resolution & tests,Dice result,A special high-value result that triggers enhanced effects.,Exceptional outcome,symbol/value,,Generic / cross-system,2026-09-23,critical crit; critical result resolution & tests dice result
WG-0345,Surge,Resolution & tests,Dice result,A special die symbol that can convert into another result under a rule.,Conditional dice result,symbol,,"System-specific label, generic concept",2026-09-23,surge surge result; conversion result resolution & tests dice result
WG-0346,Block,Resolution & tests,Dice result,A defensive die result that cancels an incoming hit/effect.,Defence success,symbol/count,,Generic / cross-system,2026-09-23,block block result; defence success resolution & tests dice result
WG-0347,Roll-off,Resolution & tests,Random priority,Both players roll and compare to determine priority or a random choice.,Breaks ties/sets initiative,dice,,Generic/common,2026-09-23,roll-off opposed single roll; tie roll resolution & tests random priority
WG-0348,Random table,Resolution & tests,Randomisation,A table that converts a die result into one of several outcomes.,Generates varied events,die -> result,,Generic design term,2026-09-23,random table chart; lookup table resolution & tests randomisation
WG-0349,Blast X,Special effect families,Weapon tag,"A parameterised blast effect where X controls number, size or scaling.",Compact area-effect keyword,integer parameter,"Parameter semantics vary by ruleset. In Warhammer 40,000 11th edition, X controls additional attack dice per five models in the target unit; do not assume the same formula in other games.",Generic/common,2026-09-23,blast x blast(x); blast value special effect families weapon tag
WG-0350,Deadly X,Special effect families,Weapon tag,A parameterised weapon rule increasing damage or wounds caused by a successful hit.,High-damage tag,integer parameter,,Generic/common,2026-09-23,deadly x high damage; multi-damage special effect families weapon tag
WG-0351,Impact X,Special effect families,Weapon/unit tag,A parameterised rule generating extra hits/effects when charging or colliding.,Charge damage,integer parameter,,Generic / cross-system,2026-09-23,impact x charge impact; impact hits special effect families weapon/unit tag
WG-0352,Reliable,Special effect families,Weapon tag,"A weapon rule making attacks unusually dependable, often by fixing or improving the hit value.",Accuracy tag,trait,,Generic / cross-system,2026-09-23,reliable accurate; fixed hit quality special effect families weapon tag
WG-0353,Rending,Special effect families,Weapon tag,A weapon rule that increases armour penetration on specified results.,Conditional penetration,trait,,Generic / cross-system,2026-09-23,rending rend; armour-piercing critical special effect families weapon tag
WG-0354,Poison weapon,Special effect families,Weapon tag,"A weapon rule that interferes with defence, healing or regeneration, or applies poison.",Anti-defence/ongoing effect,trait,,Generic / cross-system,2026-09-23,poison weapon toxic; poison special effect families weapon tag
WG-0355,Sniper,Special effect families,Weapon tag,A weapon rule allowing unusually accurate attacks or selection of specific models.,Precision targeting,trait,,Generic / cross-system,2026-09-23,sniper precision; marksman special effect families weapon tag
WG-0356,Stealth,Special effect families,Defensive tag,A rule making a unit harder to target or hit at range.,Ranged defence,modifier/range threshold,,Generic / cross-system,2026-09-23,stealth hard to target; stealthy special effect families defensive tag
WG-0357,Slow,Special effect families,Mobility tag,A rule reducing a model/unit's movement distances.,Mobility penalty,distance modifier,,Generic / cross-system,2026-09-23,slow slowed; reduced movement special effect families mobility tag
WG-0358,Strider,Special effect families,Mobility tag,A rule allowing a model/unit to ignore some difficult-terrain movement penalties.,Terrain mobility,trait,,Generic / cross-system,2026-09-23,strider terrain walker; ignore difficult terrain special effect families mobility tag
WG-0359,Tough X,Special effect families,Durability tag,A parameterised durability rule requiring multiple wounds/damage before removal.,Extra durability,integer parameter,,Generic / cross-system,2026-09-23,tough x multi-wound; durable special effect families durability tag
WG-0360,Scout,Special effect families,Deployment tag,A rule allowing advanced deployment or a move before normal play.,Deployment mobility,distance/trait,,Generic / cross-system,2026-09-23,scout forward scout; pre-game move special effect families deployment tag
WG-0361,Assault weapon,Special effect families,Weapon tag,A ranged weapon intended to function while its bearer is moving aggressively.,Move-and-fire permission,trait,,"System-specific label, generic concept",2026-09-23,assault weapon mobile fire; assault special effect families weapon tag
WG-0362,Heavy weapon,Special effect families,Weapon tag,A weapon whose effectiveness depends on remaining stationary or suffers movement restrictions.,Movement-fire trade-off,trait/modifier,,Generic / cross-system,2026-09-23,heavy weapon heavy; cumbersome special effect families weapon tag
WG-0363,Pistol,Special effect families,Weapon tag,"A short-ranged sidearm profile commonly associated with officers, crews and close fighting.",Close-range weapon role,trait/range,,Generic / cross-system,2026-09-23,pistol sidearm; pistol weapon special effect families weapon tag
WG-0364,Rapid Fire,Special effect families,Weapon tag,A weapon rule increasing attack volume at closer range.,Range-dependent volume,integer parameter,,Generic / cross-system,2026-09-23,rapid fire rapid fire x; close-range rof special effect families weapon tag
WG-0365,Sustained Hits,Special effect families,Weapon tag,A rule generating additional hits from specified hit results.,Exploding-dice offence,integer parameter,,Generic / cross-system,2026-09-23,sustained hits exploding hits; extra hits special effect families weapon tag
WG-0366,Lethal Hits,Special effect families,Weapon tag,A rule converting specified hit results directly into wounds/damage checks.,Bypasses wound step,trait,,Generic / cross-system,2026-09-23,lethal hits auto-wound hits; lethal special effect families weapon tag
WG-0367,Twin-linked,Special effect families,Weapon tag,A weapon tag granting improved consistency through rerolls or linked-fire behaviour.,Accuracy/damage consistency,trait,,"System-specific label, generic concept",2026-09-23,twin-linked reroll wounds; linked weapons special effect families weapon tag
WG-0368,Limited-use,Special effect families,Resource tag,A weapon/ability can only be used a fixed number of times.,Ammo/resource constraint,integer uses,,Generic / cross-system,2026-09-23,limited-use disposable; once per game; ammo x special effect families resource tag
WG-0369,Disposable,Special effect families,Resource tag,A weapon/equipment trait with a fixed number of available uses.,Ammo tracking,integer uses,,"System-specific label, generic concept",2026-09-23,disposable ammo; limited uses special effect families resource tag
WG-0370,Suppressive Fire,Special effect families,Fire mode,A fire mode focused on controlling an area or punishing enemy movement.,Area denial/reaction,state/mode,,Generic / cross-system,2026-09-23,suppressive fire overwatch; suppression fire special effect families fire mode
WG-0371,Overwatch,Special effect families,Reaction attack,A prepared attack made in response to enemy movement or action.,Reactive fire/area denial,reaction,,Generic/common,2026-09-23,overwatch opportunity fire; reaction fire; ambush fire special effect families reaction attack
WG-0372,Opportunity fire,Special effect families,Reaction attack,Fire triggered by an enemy presenting a target outside normal activation timing.,Reactive fire,reaction,,Generic / cross-system,2026-09-23,opportunity fire reaction fire; overwatch special effect families reaction attack
WG-0373,Covering fire,Special effect families,Support fire,"Fire used to protect movement, deny an area or support another unit rather than only maximise damage.",Area control/support,,,Generic design term,2026-09-23,covering fire support fire; suppressive fire special effect families support fire
WG-0374,Area denial,Special effect families,Control effect,An effect discouraging or preventing enemy entry into a battlefield area.,Spatial control,,,Generic design term,2026-09-23,area denial control zone; threat zone special effect families control effect
WG-0375,Remain Stationary,Movement,Movement mode,"Choose not to move during the movement step, establishing a stationary state for rules that care whether the unit moved.",Trades movement for positional or firing benefits,state / no distance,"A deliberate movement choice, not the same as being immobilised.","System-specific label, generic concept",2026-09-23,remain stationary stationary; hold position movement movement mode
WG-0376,Torrent,Special effect families,Weapon tag,A weapon ability whose attacks automatically hit instead of making a normal hit roll.,Bypasses accuracy resolution,weapon tag,Canonical family: automatic-hit attack.,"System-specific label, generic concept",2026-09-23,torrent auto-hit; automatic-hit weapon special effect families weapon tag
WG-0377,Melta X,Special effect families,Weapon tag,A parameterised close-range weapon ability that increases damage when the target is sufficiently close.,Rewards close-range anti-armour fire,integer parameter,Store the edition with the exact trigger and bonus formula.,System-specific,2026-09-23,melta x melta; close-range damage bonus special effect families weapon tag
WG-0378,Anti-X Y+,Special effect families,Weapon tag,"A parameterised anti-target ability: against a target with keyword X, an unmodified wound result of Y+ becomes a critical wound.",Specialises a weapon against a target class,keyword + target number,Example notation: Anti-Vehicle 4+.,System-specific but reusable pattern,2026-09-23,anti-x y+ anti-keyword x+; anti-keyword special effect families weapon tag
WG-0379,Devastating Wounds,Special effect families,Weapon tag,A weapon ability that converts critical wounds into a special save-bypassing damage procedure.,Makes critical wounds unusually damaging,weapon tag,Edition-sensitive. Keep the detailed damage procedure tied to the cited rules version.,System-specific,2026-09-23,devastating wounds dev wounds; critical-wound damage special effect families weapon tag
WG-0380,Cleave X,Special effect families,Weapon tag,A parameterised melee ability that adds attack dice against larger target units when its targeting condition is met.,Scales melee attack volume against massed targets,integer parameter,"The word cleave has other meanings in other games, so retain provenance.",System-specific,2026-09-23,cleave x cleave; sweep attack special effect families weapon tag
WG-0381,Down,Damage & morale,Defensive order,A defensive order in which a unit does not move or fire and gains an immediate defensive benefit.,Trades action economy for protection,order / state,Do not merge with Prone: they can look similar fictionally but are different rules mechanisms.,System-specific,2026-09-23,down down order; go down damage & morale defensive order
WG-0382,Penetration,Combat & weapons,Weapon statistic,A weapon value or modifier applied when resolving damage against armoured targets.,Measures anti-armour effectiveness,signed integer / HE-derived value,Keep separate from Armour Penetration when that term modifies a saving throw instead.,"System-specific label, generic concept",2026-09-23,penetration pen.; penetration bonus combat & weapons weapon statistic
WG-0383,Close Quarters Combat,Combat & weapons,Combat procedure,A procedure for resolving combat after opposing models or units come into very close contact.,Resolves close-range fighting,procedure,"Broad concept; initiative, casualties, retreats and follow-up movement vary by ruleset.",Generic term with system-specific procedures,2026-09-23,close quarters combat close quarters; cqc; hand-to-hand combat combat & weapons combat procedure
WG-0384,High Explosive,Combat & weapons,Ammunition / weapon trait,"Explosive ammunition or an attack class whose rules usually model blast, suppression, penetration or effects on positions.",Area/suppression fire and anti-position damage,HE size / template / parameter,Do not infer one universal HE mechanic from the military term.,Generic military term used as rules vocabulary,2026-09-23,high explosive he; high-explosive shot combat & weapons ammunition / weapon trait
WG-0385,Submachine Gun,Combat & weapons,Weapon class,A short-ranged automatic infantry weapon class represented by its own profile or traits.,Defines a close-range weapon family,range / attacks / traits,Mechanical values vary by ruleset.,Generic weapon class,2026-09-23,submachine gun smg; sub-machine gun combat & weapons weapon class
WG-0386,Light Machine Gun,Combat & weapons,Weapon class,A light support machine-gun class represented by its own weapon profile.,Defines a support-fire weapon family,range / attacks / traits,Do not infer a universal shot count from the label.,Generic weapon class,2026-09-23,light machine gun lmg; light mg combat & weapons weapon class
WG-0387,Medium Machine Gun,Combat & weapons,Weapon class,A medium machine-gun class generally representing sustained support fire.,Defines a support-fire weapon family,range / attacks / traits,"Often crew-served, but crew and fixed-weapon rules remain system-specific.",Generic weapon class,2026-09-23,medium machine gun mmg; medium mg combat & weapons weapon class
WG-0388,Heavy Machine Gun,Combat & weapons,Weapon class,"A heavy machine-gun class with greater reach, volume or armour effect than lighter machine guns.",Defines a heavy support-fire weapon family,range / attacks / penetration,Mechanical values vary by period and ruleset.,Generic weapon class,2026-09-23,heavy machine gun hmg; heavy mg combat & weapons weapon class
WG-0389,Control Range,Measurement & spatial,Command range,"A radius around a controller within which subordinate models, resources or abilities can be controlled or used.",Limits command/resource reach,inches / radius,Not the same as Zone of Control: control range usually governs friendly command rather than enemy movement.,"System-specific label, generic concept",2026-09-23,control range ctrl; command radius; control radius measurement & spatial command range
WG-0390,Battlegroup,Deployment & army building,Command grouping,A commander/controller and the subordinate war machines or creatures assigned to it.,Creates a rules-level command relationship,group membership,Useful general concept for subordinate models that remain independent pieces.,"System-specific label, reusable concept",2026-09-23,battlegroup command group; controller group deployment & army building command grouping
WG-0391,Focus Resource,Deployment & army building,Resource,A spendable combat/command resource allocated or used to enhance actions and abilities.,"Powers actions, attacks and effects",integer points,Named Focus here to distinguish it from X-Wing's Focus action/token.,System-specific,2026-09-23,focus resource focus points; focus deployment & army building resource
WG-0392,Fury Resource,Deployment & army building,Resource,A spendable and transferable resource generated and managed through a controller and subordinate creatures.,Powers actions while creating resource-management tension,integer points,Distinct from the everyday-language emotion and from other games' Fury attributes.,System-specific,2026-09-23,fury resource fury points; fury deployment & army building resource
WG-0393,Power Up,Turn structure,Resource generation,An automatic resource-generation step for eligible controlled models.,Supplies action/attack resource without a separate action,resource points,Canonical family: automatic turn-start resource generation.,System-specific,2026-09-23,power up automatic resource; power allocation turn structure resource generation
WG-0394,Upkeep,Turn structure,Persistent effect,"A recurring cost paid to keep an ongoing spell, ability or effect active.",Prices persistent effects over multiple turns,resource cost / turn,Useful generic term beyond WARMACHINE.,Generic concept,2026-09-23,upkeep maintained effect; upkeep cost turn structure persistent effect
WG-0395,Boost Roll,Resolution & tests,Dice modification,"Spend a resource or invoke an effect to improve a roll, commonly by adding an extra die.",Converts resource into higher success probability,resource + die,"Separate semantic record from Boost Manoeuvre, which is movement.",Generic concept with system-specific implementation,2026-09-23,boost roll boosted roll; boost [dice] resolution & tests dice modification
WG-0396,Knockdown,Damage & morale,Condition,"A state representing a model being knocked off its feet, usually restricting actions, movement or defence until it recovers.",Temporary combat control,state / marker,Related to Prone but not automatically synonymous.,Generic concept,2026-09-23,knockdown knocked down; kd damage & morale condition
WG-0397,Basic Attack,Combat & weapons,Attack type,An ordinary attack made without invoking a special-attack procedure.,Baseline attack category,attack,"Useful contrast term for special attacks, power attacks and spell attacks.",Generic concept,2026-09-23,basic attack standard attack; normal attack combat & weapons attack type
WG-0398,Arcane Attack,Combat & weapons,Attack type,An attack resolved using a supernatural or arcane attack characteristic rather than ordinary weapon skill.,Separates magical accuracy from physical attacks,target number / stat,Generic family for magic/psychic attack stats.,"System-specific label, generic concept",2026-09-23,arcane attack magic attack; spell attack combat & weapons attack type
WG-0399,Maintenance Phase,Turn structure,Phase,"A recurring phase for expiring effects, upkeep payments and persistent-state maintenance.",Performs start-of-turn state housekeeping,phase,Generic phase family even where games use a different label.,Generic concept,2026-09-23,maintenance phase upkeep phase; maintenance step turn structure phase
WG-0400,Control Phase,Turn structure,Phase,"A phase in which command resources are generated, recovered, allocated or managed.",Handles commander resource economy,phase,Do not confuse with objective-control scoring.,Generic concept,2026-09-23,control phase resource phase; command-resource phase turn structure phase
WG-0401,Regiment,Game object,Formation,A multi-model formation acting as a battlefield unit.,Represents formed troops at a larger tactical scale,models / stands,Military term with a rules meaning that can differ from historical establishment size.,Generic military term used as rules vocabulary,2026-09-23,regiment formed unit; formation unit game object formation
WG-0402,Stand,Game object,Formation element,A base or element containing one or more models and functioning as an atomic part of a larger formation.,Reduces model-level handling in mass battle games,base / element,Do not merge with 'base' when a ruleset distinguishes individual model bases from formation stands.,Generic,2026-09-23,stand element; multi-model base game object formation element
WG-0403,March,Movement,Formation movement,A standard movement action used by a formed unit or regiment.,Repositions formations,Move value / inches,Often distinct from charge movement and reforms.,Generic term with system-specific procedure,2026-09-23,march march action; marching movement formation movement
WG-0404,Wheel,Movement,Formation manoeuvre,Rotate a formation around part of its frontage while maintaining formation geometry.,Changes facing of formed units,degrees / movement cost,A core rank-and-flank manoeuvre family.,Generic,2026-09-23,wheel wheeling; wheel manoeuvre movement formation manoeuvre
WG-0405,Clash,Combat & weapons,Attack action,A named close-combat attack action for a regiment or formation.,Resolves formation melee,attack action,Game-specific label for a generic melee-attack concept.,System-specific,2026-09-23,clash clash attack; melee clash combat & weapons attack action
WG-0406,Volley,Combat & weapons,Attack action,"A formation-level ranged attack action, often representing coordinated fire.",Resolves formation ranged attacks,attack action,Generic military word; exact dice and targeting procedure are system-specific.,Generic term with system-specific procedure,2026-09-23,volley volley action; ranged volley combat & weapons attack action
